iter	RMSE
126	5.087924555
127	5.080479053
128	5.072486895
129	5.065689073
130	5.057241824
131	5.051964591
132	5.045537573
133	5.038510227
134	5.033568744
135	5.028744953
136	5.023989255
137	5.02057695
138	5.014482118
139	5.009297038
140	5.005030988
141	5.002012701
142	4.99814469
143	4.994793305
144	4.988041687
145	4.984549751
146	4.980849831
147	4.978297812
148	4.970952051
149	4.965292307
150	4.962002635
151	4.957587557
152	4.951865288
153	4.945604085
154	4.942788965
155	4.936488157
156	4.933704895
157	4.930643028
158	4.923723105
159	4.918402497
160	4.912216419
161	4.910058318
162	4.902519276
163	4.900689226
164	4.894506354
165	4.890160336
166	4.888826114
167	4.886738833
168	4.883527004
169	4.879454992
170	4.874382482
171	4.87078722
172	4.8636524
173	4.858224242
174	4.851227923
175	4.848582704
176	4.841237375
177	4.837216695
178	4.834409264
179	4.831258247
180	4.826958908
181	4.823748433
182	4.817558064
183	4.813235215
184	4.809226888
185	4.804830798
186	4.801312448
187	4.797077549
188	4.792800157
189	4.786802721
190	4.782604616
191	4.778189452
192	4.776292333
193	4.773917799
194	4.77127741
195	4.767133022
196	4.764326522
197	4.75924692
198	4.757214019
199	4.753194442
200	4.749080326
201	4.747233631
202	4.743361686
203	4.737333702
204	4.733650307
205	4.727986875
206	4.723552149
207	4.721777868
208	4.718470345
209	4.715215799
210	4.713788786
211	4.709176512
212	4.705774656
213	4.701153477
214	4.696554886
215	4.693171613
216	4.688206525
217	4.686479706
218	4.684076006
219	4.679868794
220	4.674168601
221	4.6723386
222	4.671040387
223	4.668004035
224	4.66557494
225	4.661206894
226	4.656381014
227	4.64986869
228	4.645419518
229	4.642893821
230	4.639764745
231	4.636998995
232	4.63244426
233	4.628709104
234	4.627151159
235	4.622577496
236	4.617265267
237	4.615367454
238	4.612802998
239	4.608538761
240	4.605444742
241	4.600803341
242	4.598050706
243	4.596647842
244	4.595849165
245	4.590173001
246	4.587481623
247	4.582991867
248	4.57964514
249	4.577021054
250	4.571879312
251	4.567626949
252	4.562246796
253	4.557620834
254	4.554372631
255	4.552100163
256	4.547223441
257	4.544317548
258	4.54249006
259	4.535948649
260	4.533569584
261	4.532767534
262	4.527297675
263	4.523675705
264	4.518857185
265	4.514367593
266	4.513359119
267	4.507994664
268	4.504681431
269	4.502674468
270	4.501859964
271	4.501171739
272	4.500429885
273	4.498242147
274	4.489808297
275	4.486347623
276	4.480149943
277	4.474832729
278	4.472718361
279	4.468406051
280	4.466528218
281	4.46416666
282	4.461526998
283	4.457999508
284	4.454777474
285	4.454015813
286	4.451175744
287	4.449287908
288	4.445084371
289	4.438944636
290	4.434744889
291	4.431305418
292	4.427017126
293	4.423992176
294	4.420475384
295	4.414708301
296	4.4116966
297	4.410790049
298	4.40881617
299	4.405999883
300	4.404224235
301	4.400938473
302	4.398640691
303	4.395822331
304	4.395222272
305	4.391591742
306	4.391006325
307	4.390598826
308	4.384467604
309	4.382642794
310	4.380964487
311	4.376806936
312	4.373340025
313	4.372741857
314	4.37219173
315	4.370004639
316	4.364890035
317	4.363824794
318	4.359894372
319	4.3557405
320	4.351892353
321	4.346365847
322	4.345595715
323	4.340677058
324	4.339051559
325	4.337626253
326	4.333765759
327	4.331906975
328	4.326287239
329	4.320865077
330	4.317323435
331	4.315440631
332	4.314871021
333	4.31169191
334	4.309711338
335	4.306061898
336	4.302172944
337	4.301587157
338	4.298088226
339	4.296174233
340	4.293082813
341	4.291469045
342	4.287498169
343	4.285354471
344	4.281016011
345	4.280649222
346	4.27718351
347	4.271618387
348	4.268152842
349	4.26492255
350	4.259651089
351	4.256762924
352	4.255352517
353	4.252027837
354	4.250740581
355	4.248047519
356	4.244046436
357	4.23970253
358	4.237677972
359	4.233530856
360	4.229891182
361	4.229502668
362	4.227139907
363	4.226634882
364	4.221099078
365	4.220489784
366	4.219553015
367	4.213763551
368	4.212295274
369	4.208889002
370	4.205444651
371	4.202113832
372	4.196698036
373	4.192008045
374	4.186926703
375	4.183460609
376	4.183005214
377	4.1785478
378	4.175824047
379	4.171631355
380	4.171253151
381	4.169059881
382	4.165614245
383	4.161115836
384	4.157876206
385	4.153023334
386	4.150250284
387	4.148896703
388	4.148473713
389	4.146193621
390	4.143127174
391	4.139903374
392	4.136643384
393	4.136344003
394	4.136065327
395	4.133676538
396	4.13276055
397	4.131425531
398	4.130999002
399	4.129209988
400	4.127888906
401	4.125008294
402	4.121384155
403	4.120824868
404	4.11685286
405	4.115199457
406	4.112454799
407	4.109709148
408	4.108797715
409	4.10603357
410	4.102439198
411	4.099587384
412	4.097469618
413	4.095463881
414	4.090718586
415	4.086173176
416	4.085842854
417	4.080226174
418	4.077193296
419	4.075477164
420	4.07412955
421	4.072114119
422	4.069509778
423	4.066194168
424	4.063296339
425	4.061668712
426	4.060474639
427	4.060190473
428	4.059060913
429	4.054626382
430	4.05209632
431	4.050279703
432	4.04860846
433	4.044756292
434	4.040428966
435	4.040066595
436	4.039138589
437	4.038912615
438	4.036990571
439	4.035221835
440	4.03163805
441	4.031314624
442	4.027039759
443	4.022791076
444	4.020271406
445	4.017042139
446	4.015092035
447	4.014053651
448	4.01335343
449	4.008202103
450	4.004914603
451	4.001064119
452	3.997156462
453	3.995414629
454	3.990603043
455	3.989798437
456	3.986089894
457	3.984023955
458	3.983761101
459	3.981191825
460	3.979244884
461	3.978395747
462	3.97812972
463	3.973547393
464	3.969551892
465	3.965906393
466	3.963639083
467	3.960982201
468	3.958240101
469	3.953959562
470	3.950535065
471	3.946296418
472	3.94310631
473	3.939213448
474	3.937344384
475	3.935504705
476	3.932314704
477	3.928305472
478	3.925257823
479	3.921452032
480	3.916399123
481	3.914707035
482	3.9122057
483	3.908933186
484	3.908548064
485	3.906526244
486	3.90271845
487	3.900751046
488	3.897078799
489	3.895589361
490	3.891834121
491	3.889506455
492	3.888919639
493	3.887082844
494	3.886738246
495	3.884973952
496	3.882703522
497	3.882412248
498	3.880213211
499	3.877845629
500	3.875640478
501	3.874864208
502	3.873178635
503	3.868769355
504	3.866681319
505	3.861886601
506	3.861219974
507	3.85788042
508	3.854461101
509	3.852829647
510	3.847859039
511	3.844905908
512	3.842825027
513	3.842211446
514	3.842004766
515	3.838804745
516	3.838389097
517	3.835697065
518	3.834711754
519	3.834389445
520	3.833992441
521	3.829863087
522	3.827935555
523	3.82362239
524	3.820395496
525	3.818560017
526	3.816816018
527	3.812551092
528	3.809783945
529	3.807217151
530	3.80549609
531	3.803527622
532	3.801550208
533	3.798802686
534	3.797993911
535	3.793465825
536	3.79006858
537	3.787071669
538	3.784050296
539	3.780670179
540	3.776187827
541	3.771481118
542	3.767986871
543	3.765941773
544	3.764774012
545	3.759687179
546	3.756681742
547	3.756517456
548	3.753529531
549	3.752653783
550	3.749648697
551	3.74758822
552	3.746279952
553	3.744800772
554	3.742529826
555	3.739936336
556	3.735015525
557	3.731389288
558	3.72935888
559	3.726821678
560	3.722905054
561	3.719624145
562	3.717570189
563	3.716301065
564	3.714505629
565	3.712929533
566	3.709779142
567	3.705858046
568	3.704788426
569	3.702858524
570	3.700441235
571	3.699724484
572	3.695068129
573	3.694335912
574	3.692932648
575	3.692816608
576	3.69152022
577	3.686718597
578	3.686167759
579	3.682459017
580	3.682344308
581	3.681265551
582	3.678472534
583	3.67447559
584	3.673644545
585	3.670454998
586	3.667729922
587	3.664572836
588	3.660648454
589	3.659512861
590	3.657970635
591	3.653132808
592	3.650437349
593	3.648180537
594	3.645969381
595	3.643457167
596	3.640807876
597	3.637783753
598	3.636478443
599	3.633880222
600	3.633065562
601	3.630488112
602	3.629486624
603	3.629182733
604	3.626480663
605	3.62630171
606	3.623479916
607	3.621884092
608	3.617772004
609	3.615548213
610	3.612675894
611	3.610575553
612	3.608943793
613	3.607914405
614	3.604834585
615	3.604618115
616	3.604479688
617	3.604151511
618	3.600670378
619	3.598413381
620	3.597740637
621	3.595578675
622	3.59337446
623	3.591492708
624	3.589497951
625	3.589253134
626	3.587659559
627	3.585217379
628	3.58198734
629	3.578566591
630	3.574807581
631	3.571806867
632	3.571658312
633	3.569396155
634	3.565097252
635	3.562565159
636	3.560197034
637	3.557143052
638	3.554062555
639	3.551803753
640	3.551626336
641	3.550553266
642	3.548184514
643	3.546628937
644	3.544528032
645	3.54273415
646	3.538499966
647	3.535998378
648	3.535457538
649	3.533438485
650	3.532441949
651	3.52949476
652	3.526941483
653	3.525478058
654	3.523764124
655	3.522201572
656	3.518958882
657	3.517099308
658	3.515032692
659	3.515008581
660	3.51144218
661	3.510015067
662	3.507186572
663	3.506995514
664	3.50672669
665	3.506652042
666	3.504997265
667	3.504021342
668	3.502264733
669	3.499077287
670	3.497796847
671	3.49587205
672	3.49294323
673	3.490881805
674	3.487764196
675	3.487598568
676	3.486363219
677	3.484955228
678	3.483134777
679	3.481793137
680	3.481123466
681	3.477072854
682	3.47662888
683	3.475108904
684	3.472844624
685	3.472142754
686	3.471978211
687	3.469308814
688	3.467255366
689	3.464437673
690	3.461924322
691	3.461776172
692	3.46157196
693	3.459232112
694	3.454893876
695	3.451684417
696	3.451019471
697	3.450352009
698	3.448700798
699	3.44834534
700	3.447588258
701	3.445712365
702	3.445021846
703	3.441689101
704	3.438710885
705	3.437646847
706	3.435446046
707	3.433571854
708	3.433373916
709	3.432246137
710	3.43088495
711	3.427200028
712	3.426523594
713	3.425440513
714	3.42269211
715	3.421652037
716	3.421522815
717	3.41764471
718	3.417143796
719	3.41701484
720	3.415082428
721	3.41057238
722	3.407654438
723	3.40578337
724	3.403098314
725	3.399990651
726	3.399310372
727	3.395543045
728	3.39349484
729	3.391050167
730	3.388695464
731	3.386469841
732	3.382615938
733	3.380839225
734	3.379049505
735	3.377375307
736	3.376020681
737	3.374760359
738	3.373925807
739	3.372367782
740	3.371527835
741	3.37142505
742	3.371064841
743	3.370655943
744	3.369145266
745	3.36656904
746	3.364040932
747	3.36367659
748	3.362708511
749	3.360782672
750	3.359881375
751	3.357171333
752	3.356399872
753	3.354292464
754	3.350898688
755	3.347999472
756	3.345804138
757	3.344926819
758	3.341611833
759	3.340554383
760	3.338989538
761	3.335921041
762	3.335213261
763	3.333255055
764	3.330415293
765	3.327742655
766	3.326456716
767	3.325090112
768	3.32209401
769	3.319637612
770	3.317748594
771	3.315837003
772	3.314259122
773	3.311837731
774	3.310593648
775	3.308691415
776	3.306955699
777	3.305733047
778	3.303428023
779	3.301484706
780	3.299444259
781	3.299234976
782	3.296322842
783	3.294071337
784	3.293910796
785	3.293777279
786	3.291418472
787	3.290081931
788	3.289001639
789	3.288339085
790	3.285837837
791	3.285307041
792	3.285156708
793	3.283556225
794	3.282833262
795	3.282041801
796	3.280386219
797	3.277398655
798	3.274576399
799	3.271617669
800	3.270909043
801	3.266747067
802	3.266208386
803	3.263810504
804	3.262823224
805	3.262270359
806	3.261910395
807	3.260461345
808	3.259203183
809	3.256150242
810	3.253086757
811	3.252733913
812	3.249615677
813	3.248684984
814	3.247161332
815	3.245432971
816	3.242583196
817	3.240804576
818	3.238286176
819	3.237236269
820	3.235436515
821	3.232432368
822	3.230615899
823	3.229772335
824	3.229727426
825	3.228103123
826	3.226096216
827	3.224254661
828	3.223881861
829	3.222340135
830	3.220750756
831	3.219959428
832	3.215986822
833	3.21411179
834	3.212003316
835	3.21167056
836	3.211229912
837	3.209126576
838	3.206627097
839	3.205564359
840	3.204509669
841	3.202827505
842	3.20024031
843	3.199504235
844	3.196868147
845	3.194485075
846	3.19157886
847	3.189964002
848	3.188524984
849	3.188141061
850	3.184752901
851	3.182597074
852	3.182102587
853	3.179060622
854	3.17751357
855	3.175981333
856	3.17338016
857	3.171673483
858	3.170468352
859	3.169885145
860	3.16967843
861	3.167938725
862	3.16593107
863	3.163794366
864	3.161992407
865	3.158917754
866	3.157840143
867	3.154567806
868	3.153583224
869	3.151728685
870	3.150570834
871	3.149901029
872	3.148406652
873	3.147029131
874	3.146390044
875	3.145858279
876	3.144144257
877	3.143466156
878	3.142599452
879	3.141927665
880	3.141520878
881	3.139045146
882	3.138693658
883	3.136127004
884	3.135719241
885	3.134399773
886	3.133424139
887	3.131462689
888	3.131276086
889	3.128510661
890	3.126756118
891	3.125748795
892	3.125390462
893	3.123585162
894	3.121522671
895	3.119233869
896	3.116178633
897	3.114982379
898	3.114049217
899	3.110525309
900	3.108063864
901	3.105991426
902	3.105626914
903	3.103667392
904	3.100765808
905	3.09931825
906	3.098793389
907	3.096072819
908	3.093607424
909	3.091056812
910	3.089980474
911	3.089600325
912	3.086282465
913	3.084446279
914	3.084253697
915	3.08405442
916	3.081028704
917	3.080527314
918	3.07671823
919	3.075693191
920	3.073796222
921	3.072812248
922	3.070493191
923	3.069056517
924	3.065331258
925	3.063930433
926	3.061608608
927	3.059488541
928	3.058669253
929	3.058143684
930	3.057278935
931	3.056260504
932	3.055658782
933	3.054204796
934	3.051472855
935	3.051347413
936	3.049097721
937	3.04830945
938	3.04666718
939	3.045823183
940	3.044523365
941	3.042851439
942	3.040877182
943	3.039360537
944	3.038149628
945	3.037063437
946	3.036778946
947	3.034695595
948	3.033337453
949	3.032164134
950	3.031920019
951	3.030266186
952	3.028946586
953	3.028159907
954	3.026318588
955	3.025869918
956	3.024800774
957	3.02212111
958	3.02013923
959	3.020098708
960	3.016859725
961	3.013988955
962	3.013871929
963	3.013037513
964	3.011526858
965	3.010980118
966	3.008961807
967	3.005632622
968	3.00251328
969	3.000164591
970	2.998363649
971	2.997477425
972	2.994873185
973	2.99477312
974	2.992524347
975	2.991052245
976	2.98938112
977	2.987863781
978	2.984916788
979	2.983311001
980	2.983223348
981	2.979705748
982	2.97755447
983	2.975971186
984	2.974735282
985	2.974225481
986	2.97138865
987	2.97071911
988	2.96982689
989	2.969206052
990	2.966015008
991	2.96427554
992	2.963670488
993	2.96024933
994	2.959308905
995	2.957334483
996	2.955969527
997	2.955131459
998	2.954156936
999	2.953863621
